State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Region
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,2000,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2,1,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176,641,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720,165,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36,100,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5,15,Islands
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40,169,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,2061,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2,1,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719,192,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,100,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1,Islands
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.3,133,Islands
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,1525,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266,1763,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717,208.5,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4,Islands
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Oilseeds,4.2,0.3,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,805.85,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85,15.86,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,683.5,197.9,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,60,145.2,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,118,366,Islands
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Oilseeds,1,0.11,Islands
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06,Islands
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,795.67,13229.25336,Islands
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22,582,Islands
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41,0.1,Islands
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,450,55.8,Islands
